user,hash,date,site_admin,day_of_week,period_of_day
ttaylorr,9e962a11bf10608f3aff6402ff88a3e8205b7a9b,2017-09-08T20:28:24Z,TRUE,sexta-feira,"(13,14]"
ttaylorr,b64a1394e789e73254b727126b798d84a87d7ad9,2017-04-12T19:26:15Z,TRUE,quarta-feira,"(12,13]"
ttaylorr,498d4015b8fd099e337c57192fc7b5e904647ee4,2017-05-19T19:33:43Z,TRUE,sexta-feira,"(12,13]"
ttaylorr,54819d0eb1b94fff304bc83f2e77b32a62a05ce1,2017-05-17T21:03:40Z,TRUE,quarta-feira,"(14,15]"
ttaylorr,68348680cc962d06c0f432842b0e8736e7589215,2017-05-09T17:28:33Z,TRUE,terça-feira,"(10,11]"
ttaylorr,0db4437efa9e2f0714e4b4f2061535f19fcbe99b,2018-02-07T23:35:59Z,TRUE,quarta-feira,"(15,16]"
ttaylorr,b7bb7289ca20d4eb5c6fee390c1dcee55e9d0e87,2016-07-17T22:08:51Z,TRUE,domingo,"(15,16]"
ttaylorr,987c1377f7931040a49f4323109605f6afa7ed08,2018-04-18T22:14:50Z,TRUE,quarta-feira,"(15,16]"
ttaylorr,f3b816ad768b4174e21ce0a2fff756bd06a439c5,2017-11-16T21:13:17Z,TRUE,quinta-feira,"(13,14]"
ttaylorr,038e4a30faa3d84765b3ac468bea995fd6cda2fb,2017-08-10T23:56:28Z,TRUE,quinta-feira,"(16,17]"
ttaylorr,13282165e03823482f08fed42fcf1182c07e301a,2016-10-10T21:28:33Z,TRUE,segunda-feira,"(14,15]"
ttaylorr,44f6f7c2adabbfa01e8f617cb154703a36c43ff8,2018-01-30T01:48:59Z,TRUE,terça-feira,"(17,18]"
ttaylorr,bf994539da4c44f4dfebe85fa9685f4d40cc7e2b,2017-02-22T17:56:25Z,TRUE,quarta-feira,"(9,10]"
ttaylorr,07ecd45397ff98151b2a8baf1b5f5f4452c04de0,2017-05-24T18:54:32Z,TRUE,quarta-feira,"(11,12]"
ttaylorr,a1f5f6f19b605fc5d4ae8ce0aed01c5a876f8282,2016-07-06T14:18:11Z,TRUE,quarta-feira,"(7,8]"
ttaylorr,e15e14976461f1d84c5494c41f1f483640f1d2b6,2017-08-24T21:51:08Z,TRUE,quinta-feira,"(14,15]"
ttaylorr,ef0b72a185779884fd8d28094c601c89ec0a2167,2017-06-05T19:30:57Z,TRUE,segunda-feira,"(12,13]"
ttaylorr,97bc74aeb81f3cd25c4cc6838a69ce62794e210e,2017-06-05T18:25:58Z,TRUE,segunda-feira,"(11,12]"
ttaylorr,568a0ca167515e952be982e790730629cda9feb5,2018-04-30T15:52:52Z,TRUE,segunda-feira,"(8,9]"
ttaylorr,7c0f9e23f7f806811a7262d3f8ff17ad3b6cbe5b,2017-11-16T16:35:44Z,TRUE,quinta-feira,"(8,9]"
ttaylorr,75c45382b7138b268b09a4d3d7e17fb8ccf86780,2017-03-22T21:21:29Z,TRUE,quarta-feira,"(14,15]"
ttaylorr,d770dfa09eb289ff4d4167d91ce4a9030f9886ed,2016-10-20T18:07:40Z,TRUE,quinta-feira,"(11,12]"
ttaylorr,b3707a6b21cfec8f0c8369e03956525d70fdd724,2016-12-28T01:00:06Z,TRUE,quarta-feira,"(17,18]"
ttaylorr,266296eb5ca69eca92a968f5417800302235397e,2017-06-23T18:05:46Z,TRUE,sexta-feira,"(11,12]"
ttaylorr,e61176662b89c1391cfc9f2f155e8688779a756a,2017-03-17T18:59:37Z,TRUE,sexta-feira,"(11,12]"
ttaylorr,13fda8da6b105b41e81596ff83dd1d213c74552f,2016-11-18T00:05:52Z,TRUE,sexta-feira,"(16,17]"
ttaylorr,29ae94b254da385fbef11d66bab78507b1e7c915,2017-11-17T16:16:51Z,TRUE,sexta-feira,"(8,9]"
ttaylorr,620218f9c0f6c9dde50ca7860d969529aa3e28a0,2017-04-27T20:37:28Z,TRUE,quinta-feira,"(13,14]"
ttaylorr,ec4c9005150457ac37d77bf50aa4117bd82a51da,2017-05-16T18:10:58Z,TRUE,terça-feira,"(11,12]"
ttaylorr,4ae8afca74fd4b8f2490ad57c9874b5213e31a85,2016-11-10T19:23:56Z,TRUE,quinta-feira,"(11,12]"
ttaylorr,8605c80fbf5ee2dbbdb3dbcb8695dea2b3ae54ec,2017-08-07T20:52:24Z,TRUE,segunda-feira,"(13,14]"
ttaylorr,b9b473234c0f05f2582cfe7bf8865a68de998076,2018-02-27T22:37:37Z,TRUE,terça-feira,"(14,15]"
ttaylorr,aaf933a5ef2947e1a771d57cf866a99983940c1d,2016-08-17T22:24:24Z,TRUE,quarta-feira,"(15,16]"
ttaylorr,330e89946646be5f5f4f11607e6baf8d084703d3,2017-08-01T20:47:19Z,TRUE,terça-feira,"(13,14]"
ttaylorr,c88aa5b3477ee91837be5c56b0b77a3851ce43c9,2018-02-27T01:06:10Z,TRUE,terça-feira,"(17,18]"
ttaylorr,1570e4463d118fe06e199c43fcc08a01439a12a2,2016-12-12T00:43:08Z,TRUE,segunda-feira,"(16,17]"
ttaylorr,d6df15db78be716bd98b7fb24c087769dcf05c54,2016-12-28T23:24:26Z,TRUE,quarta-feira,"(15,16]"
ttaylorr,4b2417ed0d09534e3f3c7a4746e4b78b78d5d2a6,2016-08-04T00:11:50Z,TRUE,quinta-feira,"(17,18]"
ttaylorr,6429de01d361e568442eab87e0d32ea8b034043d,2017-08-29T14:03:58Z,TRUE,terça-feira,"(7,8]"
ttaylorr,2edcf3e11605c4c7c27122310629d5a9bce73cf3,2017-05-08T15:55:46Z,TRUE,segunda-feira,"(8,9]"
ttaylorr,1cc7bdf713713a4a7e094f48a053c929aaff0180,2017-04-27T16:44:38Z,TRUE,quinta-feira,"(9,10]"
ttaylorr,04191fc113fa3a3b29fba545e1a15824d5a65f4a,2017-12-05T02:53:08Z,TRUE,terça-feira,"(18,19]"
ttaylorr,a2a7b09762a02d2acb5987f98af189f93924b1f6,2017-02-17T01:32:42Z,TRUE,sexta-feira,"(17,18]"
ttaylorr,c7e71434439da4ccfb0e3e53807465443bae7c7c,2017-05-02T18:22:06Z,TRUE,terça-feira,"(11,12]"
ttaylorr,72dc60231f57ad851354f5c953b988375a3a9c4e,2016-10-10T19:56:44Z,TRUE,segunda-feira,"(12,13]"
ttaylorr,211e8862901a758f9271d411a8d5cc224c9e0746,2017-07-31T21:54:14Z,TRUE,segunda-feira,"(14,15]"
ttaylorr,8eeaa8d889023167883b48dc0f970db0bbf8c7db,2018-02-14T01:52:14Z,TRUE,quarta-feira,"(17,18]"
ttaylorr,01f4ea00dca8fab56090274d6f0b00a67e401ea1,2017-02-17T17:05:08Z,TRUE,sexta-feira,"(9,10]"
ttaylorr,45c580e60abfa36d0f9affba8b236f0e6516ce1d,2017-11-22T22:07:24Z,TRUE,quarta-feira,"(14,15]"
ttaylorr,43a117757ad0b0eac75b900bf8a22936747d9854,2017-08-15T15:51:06Z,TRUE,terça-feira,"(8,9]"
ttaylorr,e60afaf309adad97ff09b7cc1def7e0ce3ec1a48,2018-02-01T02:16:43Z,TRUE,quinta-feira,"(18,19]"
ttaylorr,b23cd068867a86fbb7b3e89f6642ddfde3049811,2017-12-13T19:06:01Z,TRUE,quarta-feira,"(11,12]"
ttaylorr,f9aae94c32a329cf0e39ed83d6efe1093225f1d5,2017-12-14T18:06:50Z,TRUE,quinta-feira,"(10,11]"
ttaylorr,aae78d8300e1c325a321528c56fb947b58fd61b3,2017-06-23T23:12:10Z,TRUE,sexta-feira,"(16,17]"
ttaylorr,fdbf3041f965275419cee6a93063f121d81a3596,2017-04-13T15:03:56Z,TRUE,quinta-feira,"(8,9]"
ttaylorr,f80e675774aaecb6cdc313a73def72d27275a301,2017-03-23T23:07:13Z,TRUE,quinta-feira,"(16,17]"
ttaylorr,6c771f85ad3148bd4c5e403159e5596977495112,2016-10-07T17:02:18Z,TRUE,sexta-feira,"(10,11]"
ttaylorr,05495b1f5674f6f692ecc4e13ed4619385da0420,2016-07-07T16:43:37Z,TRUE,quinta-feira,"(9,10]"
ttaylorr,20723dda4f8f996836056b880fb5d7062ada2fb0,2017-04-25T20:01:31Z,TRUE,terça-feira,"(13,14]"
ttaylorr,cf409ac5f8a610c70985479bf097b161d75bc1c4,2016-12-12T17:30:15Z,TRUE,segunda-feira,"(9,10]"
ttaylorr,5fefe8840c6a5d6c0f913ca38a8bb9229519629a,2017-08-10T23:01:07Z,TRUE,quinta-feira,"(16,17]"
ttaylorr,72c0185826bb7168d832a56ee1529857367fa8dc,2017-08-30T16:46:36Z,TRUE,quarta-feira,"(9,10]"
ttaylorr,75fde77ddadab0795996d3284fa9cc55c356a47d,2017-07-06T17:43:18Z,TRUE,quinta-feira,"(10,11]"
ttaylorr,debd5ca465b807bd75e4d5c30ac1b59e16cf8c2e,2017-09-13T21:11:40Z,TRUE,quarta-feira,"(14,15]"
